🚀 Training on device: cuda
Loading data from /content/drive/My Drive/processed_aalto_data.npy...
Data Loaded. Users: 12006, Seq/User: 5
🏋️ Starting Training Loop...
Epoch 1 | Batch 0 | Loss: 29.4983
Epoch 1 | Batch 10 | Loss: 1.8583
Epoch 1 | Batch 20 | Loss: 1.2973
Epoch 1 | Batch 30 | Loss: 1.2061
Epoch 1 | Batch 40 | Loss: 1.3069
Epoch 1 | Batch 50 | Loss: 1.0287
Epoch 1 | Batch 60 | Loss: 1.0518
Epoch 1 | Batch 70 | Loss: 0.9424
Epoch 1 | Batch 80 | Loss: 0.9357
Epoch 1 | Batch 90 | Loss: 0.8652
Epoch 1 | Batch 100 | Loss: 0.7285
Epoch 1 | Batch 110 | Loss: 0.6148
Epoch 1 | Batch 120 | Loss: 0.5066
Epoch 1 | Batch 130 | Loss: 0.5431
Epoch 1 | Batch 140 | Loss: 0.5565
Epoch 1 | Batch 150 | Loss: 0.4294
Epoch 1 | Batch 160 | Loss: 0.5839
Epoch 1 | Batch 170 | Loss: 0.4365
Epoch 1 | Batch 180 | Loss: 0.3747
Epoch 1 | Batch 190 | Loss: 0.4670
Epoch 1 | Batch 200 | Loss: 0.4249
Epoch 1 | Batch 210 | Loss: 0.4963
Epoch 1 | Batch 220 | Loss: 0.4405
Epoch 1 | Batch 230 | Loss: 0.4354
✅ Epoch [1/100] Complete. Avg Loss: 1.0510
Epoch 2 | Batch 0 | Loss: 0.4387
Epoch 2 | Batch 10 | Loss: 0.3834
Epoch 2 | Batch 20 | Loss: 0.4314
Epoch 2 | Batch 30 | Loss: 0.4249
Epoch 2 | Batch 40 | Loss: 0.4071
Epoch 2 | Batch 50 | Loss: 0.4832
Epoch 2 | Batch 60 | Loss: 0.4317
Epoch 2 | Batch 70 | Loss: 0.3197
Epoch 2 | Batch 80 | Loss: 0.3080
Epoch 2 | Batch 90 | Loss: 0.3506
Epoch 2 | Batch 100 | Loss: 0.3765
Epoch 2 | Batch 110 | Loss: 0.4143
Epoch 2 | Batch 120 | Loss: 0.2579
Epoch 2 | Batch 130 | Loss: 0.3773
Epoch 2 | Batch 140 | Loss: 0.4439
Epoch 2 | Batch 150 | Loss: 0.4105
Epoch 2 | Batch 160 | Loss: 0.3520
Epoch 2 | Batch 170 | Loss: 0.3627
Epoch 2 | Batch 180 | Loss: 0.2902
Epoch 2 | Batch 190 | Loss: 0.3749
Epoch 2 | Batch 200 | Loss: 0.3707
Epoch 2 | Batch 210 | Loss: 0.2925
Epoch 2 | Batch 220 | Loss: 0.3459
Epoch 2 | Batch 230 | Loss: 0.4284
✅ Epoch [2/100] Complete. Avg Loss: 0.3868
Epoch 3 | Batch 0 | Loss: 0.2810
Epoch 3 | Batch 10 | Loss: 0.3250
Epoch 3 | Batch 20 | Loss: 0.3835
Epoch 3 | Batch 30 | Loss: 0.3744
Epoch 3 | Batch 40 | Loss: 0.3226
Epoch 3 | Batch 50 | Loss: 0.3661
Epoch 3 | Batch 60 | Loss: 0.3845
Epoch 3 | Batch 70 | Loss: 0.3033
Epoch 3 | Batch 80 | Loss: 0.3589
Epoch 3 | Batch 90 | Loss: 0.3100
Epoch 3 | Batch 100 | Loss: 0.3375
Epoch 3 | Batch 110 | Loss: 0.2886
Epoch 3 | Batch 120 | Loss: 0.3560
Epoch 3 | Batch 130 | Loss: 0.4265
Epoch 3 | Batch 140 | Loss: 0.3501
Epoch 3 | Batch 150 | Loss: 0.4024
Epoch 3 | Batch 160 | Loss: 0.2721
Epoch 3 | Batch 170 | Loss: 0.2416
Epoch 3 | Batch 180 | Loss: 0.3837
Epoch 3 | Batch 190 | Loss: 0.3109
Epoch 3 | Batch 200 | Loss: 0.3407
Epoch 3 | Batch 210 | Loss: 0.3345
Epoch 3 | Batch 220 | Loss: 0.3806
Epoch 3 | Batch 230 | Loss: 0.3780
✅ Epoch [3/100] Complete. Avg Loss: 0.3451
Epoch 4 | Batch 0 | Loss: 0.2962
Epoch 4 | Batch 10 | Loss: 0.3380
Epoch 4 | Batch 20 | Loss: 0.4060
Epoch 4 | Batch 30 | Loss: 0.2795
Epoch 4 | Batch 40 | Loss: 0.2785
Epoch 4 | Batch 50 | Loss: 0.3815
Epoch 4 | Batch 60 | Loss: 0.3289
Epoch 4 | Batch 70 | Loss: 0.3013
Epoch 4 | Batch 80 | Loss: 0.3929
Epoch 4 | Batch 90 | Loss: 0.3222
Epoch 4 | Batch 100 | Loss: 0.3055
Epoch 4 | Batch 110 | Loss: 0.3586
Epoch 4 | Batch 120 | Loss: 0.2862
Epoch 4 | Batch 130 | Loss: 0.2950
Epoch 4 | Batch 140 | Loss: 0.3481
Epoch 4 | Batch 150 | Loss: 0.3475
Epoch 4 | Batch 160 | Loss: 0.3369
Epoch 4 | Batch 170 | Loss: 0.3478
Epoch 4 | Batch 180 | Loss: 0.3423
Epoch 4 | Batch 190 | Loss: 0.3347
Epoch 4 | Batch 200 | Loss: 0.3040
Epoch 4 | Batch 210 | Loss: 0.3705
Epoch 4 | Batch 220 | Loss: 0.3385
Epoch 4 | Batch 230 | Loss: 0.3533
✅ Epoch [4/100] Complete. Avg Loss: 0.3295
Epoch 5 | Batch 0 | Loss: 0.2708
Epoch 5 | Batch 10 | Loss: 0.3283
Epoch 5 | Batch 20 | Loss: 0.3452
Epoch 5 | Batch 30 | Loss: 0.3301
Epoch 5 | Batch 40 | Loss: 0.3160
Epoch 5 | Batch 50 | Loss: 0.3182
Epoch 5 | Batch 60 | Loss: 0.2938
Epoch 5 | Batch 70 | Loss: 0.3037
Epoch 5 | Batch 80 | Loss: 0.3278
Epoch 5 | Batch 90 | Loss: 0.3464
Epoch 5 | Batch 100 | Loss: 0.2843
Epoch 5 | Batch 110 | Loss: 0.3000
Epoch 5 | Batch 120 | Loss: 0.3543
Epoch 5 | Batch 130 | Loss: 0.3061
Epoch 5 | Batch 140 | Loss: 0.3330
Epoch 5 | Batch 150 | Loss: 0.3370
Epoch 5 | Batch 160 | Loss: 0.3139
Epoch 5 | Batch 170 | Loss: 0.3445
Epoch 5 | Batch 180 | Loss: 0.3800
Epoch 5 | Batch 190 | Loss: 0.2769
Epoch 5 | Batch 200 | Loss: 0.2947
Epoch 5 | Batch 210 | Loss: 0.3027
Epoch 5 | Batch 220 | Loss: 0.2732
Epoch 5 | Batch 230 | Loss: 0.3012
✅ Epoch [5/100] Complete. Avg Loss: 0.3193
Epoch 6 | Batch 0 | Loss: 0.3266
Epoch 6 | Batch 10 | Loss: 0.3282
Epoch 6 | Batch 20 | Loss: 0.3249
Epoch 6 | Batch 30 | Loss: 0.3907
Epoch 6 | Batch 40 | Loss: 0.2944
Epoch 6 | Batch 50 | Loss: 0.3217
Epoch 6 | Batch 60 | Loss: 0.3251
Epoch 6 | Batch 70 | Loss: 0.2823
Epoch 6 | Batch 80 | Loss: 0.3575
Epoch 6 | Batch 90 | Loss: 0.2856
Epoch 6 | Batch 100 | Loss: 0.3520
Epoch 6 | Batch 110 | Loss: 0.3108
Epoch 6 | Batch 120 | Loss: 0.3119
Epoch 6 | Batch 130 | Loss: 0.3066
Epoch 6 | Batch 140 | Loss: 0.3057
Epoch 6 | Batch 150 | Loss: 0.3222
Epoch 6 | Batch 160 | Loss: 0.2562
Epoch 6 | Batch 170 | Loss: 0.3756
Epoch 6 | Batch 180 | Loss: 0.2584
Epoch 6 | Batch 190 | Loss: 0.3488
Epoch 6 | Batch 200 | Loss: 0.3076
Epoch 6 | Batch 210 | Loss: 0.2814
Epoch 6 | Batch 220 | Loss: 0.3533
Epoch 6 | Batch 230 | Loss: 0.2993
✅ Epoch [6/100] Complete. Avg Loss: 0.3146
Epoch 7 | Batch 0 | Loss: 0.2530
Epoch 7 | Batch 10 | Loss: 0.3637
Epoch 7 | Batch 20 | Loss: 0.3557
Epoch 7 | Batch 30 | Loss: 0.3170
Epoch 7 | Batch 40 | Loss: 0.3330
Epoch 7 | Batch 50 | Loss: 0.2978
Epoch 7 | Batch 60 | Loss: 0.3097
Epoch 7 | Batch 70 | Loss: 0.2963
Epoch 7 | Batch 80 | Loss: 0.3788
Epoch 7 | Batch 90 | Loss: 0.3303
Epoch 7 | Batch 100 | Loss: 0.3429
Epoch 7 | Batch 110 | Loss: 0.3978
Epoch 7 | Batch 120 | Loss: 0.2988
Epoch 7 | Batch 130 | Loss: 0.3152
Epoch 7 | Batch 140 | Loss: 0.3050
Epoch 7 | Batch 150 | Loss: 0.2889
Epoch 7 | Batch 160 | Loss: 0.3007
Epoch 7 | Batch 170 | Loss: 0.2889
Epoch 7 | Batch 180 | Loss: 0.2310
Epoch 7 | Batch 190 | Loss: 0.3275
Epoch 7 | Batch 200 | Loss: 0.3136
Epoch 7 | Batch 210 | Loss: 0.3195
Epoch 7 | Batch 220 | Loss: 0.2704
Epoch 7 | Batch 230 | Loss: 0.3108
✅ Epoch [7/100] Complete. Avg Loss: 0.3121
Epoch 8 | Batch 0 | Loss: 0.3600
Epoch 8 | Batch 10 | Loss: 0.3271
Epoch 8 | Batch 20 | Loss: 0.2714
Epoch 8 | Batch 30 | Loss: 0.2790
Epoch 8 | Batch 40 | Loss: 0.5403
Epoch 8 | Batch 50 | Loss: 0.3271
Epoch 8 | Batch 60 | Loss: 0.3163
Epoch 8 | Batch 70 | Loss: 0.2830
Epoch 8 | Batch 80 | Loss: 0.2979
Epoch 8 | Batch 90 | Loss: 0.3341
Epoch 8 | Batch 100 | Loss: 0.2551
Epoch 8 | Batch 110 | Loss: 0.3175
Epoch 8 | Batch 120 | Loss: 0.3008
Epoch 8 | Batch 130 | Loss: 0.3584
Epoch 8 | Batch 140 | Loss: 0.3348
Epoch 8 | Batch 150 | Loss: 0.2816
Epoch 8 | Batch 160 | Loss: 0.3942
Epoch 8 | Batch 170 | Loss: 0.3050
Epoch 8 | Batch 180 | Loss: 0.3523
Epoch 8 | Batch 190 | Loss: 0.3093
Epoch 8 | Batch 200 | Loss: 0.3002
Epoch 8 | Batch 210 | Loss: 0.3460
Epoch 8 | Batch 220 | Loss: 0.3076
Epoch 8 | Batch 230 | Loss: 0.2800
✅ Epoch [8/100] Complete. Avg Loss: 0.3087
Epoch 9 | Batch 0 | Loss: 0.2846
Epoch 9 | Batch 10 | Loss: 0.3190
